ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date,our score
3928,QUATÁ LANDFILL GAS PROJECT,Solvi Participações S.A.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registration requested,Brazil,"85,252",Latin America,,2023-04-01,2030-03-31,57.35
3929,VICTOR GRAEFF LANDFILL GAS PROJECT,Solvi Participações S.A.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Verification approval requested,Brazil,"75,693",Latin America,2024-10-25,2022-09-02,2029-09-01,58.35
3930,Fujian Wuyishan Adjusted Water Management in Rice Cultivation,"Zhejiang Zhongzheng Forestry Development Co.,Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"36,316",Asia,,2020-05-15,2027-05-14,60.95
3934,Tianpeng Adjusted Water Management in Rice Cultivation,"Sichuan Huixiang Ecological Agriculture Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"56,539",Asia,,2020-05-11,2030-05-10,62.75000000000001
3935,Angovo Maharitra,CARBON CREDITS CONSULTING S.R.L.,Energy demand,,AMS-II.G.,Verification approval requested,Madagascar,"25,948",Africa,2024-08-09,2022-10-07,2029-10-06,67.35000000000001
3936,Mila Rano - Safe water access for Madagascar,CARBON CREDITS CONSULTING S.R.L.,Energy demand,,AMS-I.E.; AMS-III.AV.,Verification approval requested,Madagascar,"9,279",Africa,2024-09-30,2023-05-31,2030-05-30,65.85
3937,"Improved Cook Stove Project 1, Nkhata Bay District, Malawi - CER Conversion",Multiple Proponents,Energy demand,,AMS-II.G.,Units Transferred from Approved GHG Program,Malawi,"32,672",Africa,,,,62.55
3938,Carbono Rural AR NEA,Ecosecurities Group Limited,Agriculture Forestry and Other Land Use,ALM,VM0042,Registration requested,Argentina,"27,337",Latin America,,2020-10-01,2040-09-30,58.050000000000004
3939,Distribution of LED Lamps for replacing ICLs in India,Climanext Private Limited,Energy demand,,AMS-II.C.,Under validation,India,"53,799",Asia,,2023-02-01,2033-01-31,69.55000000000001
3940,Lianzhou Landfill Gas Power Generation Project,"Lianzhou Dongkang Renewable Energy Technology Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,"82,464",Asia,2023-06-21,2021-06-01,2028-05-31,61.95
3941,Installation of high efficiency wood burning cookstoves in South Africa,C-Quest Capital CR Stoves Pte. Ltd.,Energy demand,,VMR0006,Withdrawn,South Africa,"1,004,676",Africa,2024-02-27,2024-02-01,2034-01-31,61.15
3942,Installation of high efficiency cookstoves in Uttar Pradesh and Madhya Pradesh  (India),Climanext Private Limited,Energy demand,,VMR0006,Under validation,India,"380,912",Asia,,2023-02-01,2030-01-31,62.25
3944,Jinmu AWMS GHG Mitigation Project in Liaoning Province,"Henan Yangxiang Breeding Co., Ltd","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.; AMS-III.F.,Registered,China,"38,716",Asia,2023-12-15,2021-06-24,2031-06-23,74.95
3945,Yangxiang AWMS GHG Mitigation Project In Anhui Province,"Henan Yangxiang Breeding Co., Ltd",Waste handling and disposal,,AMS-III.D.; AMS-III.F.,Registered,China,"12,974",Asia,2024-04-05,2021-06-01,2031-05-31,74.95
3947,Adjusted Water Management in Rice Cultivation in Cangxi County in Sichuan Province,"Sichuan Cangxi Urban Investment Carbon Sink Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"58,445",Asia,,2020-04-26,2027-04-25,62.45
3948,Danjingshan Adjusted Water Management in Rice Cultivation,"Sichuan Huixiang Ecological Agriculture Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"56,653",Asia,,2020-05-08,2030-05-07,62.75000000000001
3949,Waste Management Project-1 by GLOBAL CARBON SOLUTIONS,Global Carbon Solutions,Transport; Waste handling and disposal,,AMS-III.D.; AMS-III.AO.; AMS-III.AQ,Registered,India,"35,936",Asia,2024-12-02,2021-02-24,2028-02-23,75.25000000000001
3950,Gansu Hui County Muge Swine Farm Manure Management System GHG Mitigation Project,"Hui County XINGJIANG Muge Breeding Co., LTD.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,"42,656",Asia,2024-03-04,2021-06-01,2028-05-31,60.45
3951,Hunan Changde Muge Swine Farm Manure Management System GHG Mitigation Project,"Changde Dingcheng District Xingjiang Muge Breeding Co., Ltd.","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,"51,445",Asia,2024-01-31,2022-06-07,2029-06-06,61.15
3953,RUQI MOBILITY GUANGZHOU ELECTRIC VEHICLE IN PASSENGER TRANSPORTATION Phase 2 PROJECT,"Guangzhou Qichen Technology Co., Ltd.",Transport,,AMS-III.C.,Registered,China,"51,977",Asia,2023-09-28,2021-04-01,2031-03-31,74.14999999999999
3954,SUSTAINABLE CHARCOAL AND IMPROVED COOKSTOVE INITIATIVE USING MICRO-GASIFIER IN INDIA,"ECONEXUS Carbon Credit Co., Ltd.,",Chemical industry; Energy demand; Energy industries (renewable/non-renewable sources),,VMR0006; AMS-III.BG,Registered,India,"3,206,158",Asia,2024-05-14,2022-09-10,2029-09-09,79.55000000000001
3955,Grouped Project for Philippines Water Purifier Program,Sustainability Investment Promotion and Development Joint Stock Company,Energy demand,,AMS-III.AV.,Under validation,Philippines,"3,795,168",Asia,,2023-01-01,2032-12-31,74.05000000000001
3956,Grouped Project for Philippines Cookstove Program,Sustainability Investment Promotion and Development Joint Stock Company,Energy demand,,VMR0006,Under validation,Philippines,"20,697,232",Asia,,2023-01-01,2032-12-31,65.55
3958,Adjusted Water Management in Rice Cultivation in Zhijiang City,Sinochem Agriculture Holdings,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"42,981",Asia,,2020-05-25,2030-05-24,61.25000000000001
3959,Jiangsu Qidong Yongyin Recycled PET Project,"Jiangsu Yongyin Chemical Fibre Co., Ltd.",Waste handling and disposal,,AMS-III.AJ.,Registered,China,"55,207",Asia,2023-07-03,2021-03-10,2028-03-09,74.65
3960,Belize Maya Forest REDD+ Project,The Nature Conservancy,Agriculture Forestry and Other Land Use,REDD,VM0007,Registered,Belize,"736,688",Latin America,2024-11-14,2020-12-10,2060-12-09,45.45
3961,Inner Mongolia Alihe-Jiwen Afforestation Project,INNER MONGOLIA DAXING’ANLING CARBON SINK TECHNOLOGY CO.LTD,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Withdrawn,China,"8,874",Asia,,2020-05-08,2080-05-07,40.050000000000004
3963,SMG - Nepal Cookstove Program in Terai Region of Himalayas,Shri Maa Marketing Private Limited,Energy demand,,VMR0006,Registered,Nepal,"116,913",Asia,2024-08-08,2022-12-01,2029-11-30,66.25
3966,Karaman Landfill Gas to Electricity Project,FMH Enerji Ticaret Limited Şirketi,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Under validation,Turkey,"80,864",Europe,,2022-01-01,2028-12-31,57.95
3967,"VALLE LAGUNARE - VAL DOGA', CAPOSILE - VENICE CARBON CREDIT ASSESSMENT IN CONTROLLED LAGOON ENVIRONMENT",Societa Agricola Blue Valley Srl,Agriculture Forestry and Other Land Use,ARR,VM0033,Under validation,Italy,"150,531",Europe,,2022-01-01,2041-12-31,55.150000000000006
3968,Zhejiang Jia’ao Biodiesel Production Project,"Zhejiang Jia’ao Green New Energy Co., Ltd.",Chemical industry; Transport,,ACM0017,Withdrawn,China,"389,796",Asia,,2022-05-24,2029-05-23,54.25
3969,Hebei Handan Damingchang Biogas Recovery and Utilization Project,"Daming Jiujin Energy Co., Ltd",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.D.,Registered,China,"33,017",Asia,2024-07-04,2022-08-26,2029-08-25,80.45
3970,Carbon In Flavor and Arome Forests (C-BOSAR),Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,Colombia,"10,247",Latin America,2024-05-09,2022-09-02,2072-09-01,49.95
3971,Adjusted Water Management in Rice Cultivation in North Anyi,"Jiangxi Green Energy Agricultural Development Co., Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"76,357",Asia,,2020-04-10,2027-04-09,62.45
3972,Adjusted Water Management in Rice Cultivation in South Anyi,"Jiangxi Green Energy Agricultural Development Co., Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"73,541",Asia,,2020-04-10,2027-04-09,62.45
3973,"involtor Future Agriculture, East-Europe",Involtor Consult SRL,Agriculture Forestry and Other Land Use,ALM,VM0042,On Hold - see notification letter,Romania,"16,000",Europe,2025-01-20,2019-12-01,2049-11-30,60.45
3975,Improved cookstoves for refugees in Uganda,POWA International,Energy demand,,VMR0006,Under validation,Uganda,"833,907",Africa,,2022-10-01,2029-09-30,63.349999999999994
3976,Rovuma Belt,Fundação para o Desenvolvimento de Palma,Agriculture Forestry and Other Land Use,REDD,ACM0003,Under development,Mozambique,"250,000",Africa,,2022-01-02,2062-01-01,52.75
3977,Adjusted Water Management in Rice Cultivation in West of Fuling District in Chongqing City,"Chongqing Tanray Technology Co.,Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"51,982",Asia,,2020-04-20,2027-04-19,62.45
3978,Adjusted Water Management in Rice Cultivation in East of Fuling District in Chongqing City,"Chongqing Tanray Technology Co.,Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"51,919",Asia,,2020-04-20,2027-04-19,62.45
3980,Xinjiang Muge Swine Farm Manure Management System GHG Mitigation Project,"Aksu Xingjiang Muge FOOD Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Verification approval requested,China,"165,560",Asia,2024-07-16,2021-08-30,2028-08-29,60.45
3981,Qinghai Muge Swine Farm Manure Management System GHG Mitigation Project,"Golmud Xingjiang MUGE FOOD Co., Ltd","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,"30,789",Asia,2024-08-01,2021-09-01,2028-08-31,60.65
3982,Improved Cookstove Distribution in Ghana by EKI Phase-III,EKI Energy Services Limited,Energy demand; Energy industries (renewable/non-renewable sources),,VMR0006,Rejected by Administrator,Ghana,"27,843",Africa,,2023-01-15,2030-01-14,56.65
3983,Improved Cookstove Distribution in Ghana by EKI Phase-II,EKI Energy Services Limited,Energy demand,,VMR0006,Under validation,Ghana,"3,978",Africa,,2023-01-15,2030-01-14,57.349999999999994
3984,"Leyuan ANIMAL Husbandry Weixian Co., Ltd. NO. 4 Pasture Wastes Recycling Project","Hebei Zhonghai Huaneng Energy Co., Ltd",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.D.,Registered,China,"57,220",Asia,2023-12-22,2021-03-21,2028-03-20,81.95
3985,Grouped Electric bikes project in Africa,SPIRO HOLDCO,Transport,,AMS-III.C.,Registered,Togo,"65,806",Africa,2025-05-22,2022-06-20,2029-06-19,74.05
3986,15 MW Nam The Hydropower Project,Kosher Climate India Pvt. Ltd.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Inactive,Lao,"40,111",Asia,,2021-01-01,2027-12-31,72.05000000000001
